Circuit: * C:\Users\karab\OneDrive\Documents\GitHub\EE463_Project_Onur_Halis_Halid\3854.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 4.24702e-006 to 4.25202e-006
Heightened Def Con from 4.25203e-006 to 4.25703e-006
Heightened Def Con from 4.30287e-006 to 4.30687e-006
Heightened Def Con from 4.31001e-006 to 4.31501e-006
Heightened Def Con from 4.31614e-006 to 4.32114e-006
Heightened Def Con from 4.73497e-006 to 4.73997e-006
Heightened Def Con from 4.74103e-006 to 4.74603e-006
Heightened Def Con from 4.75154e-006 to 4.75654e-006
Heightened Def Con from 4.7571e-006 to 4.7621e-006
Heightened Def Con from 4.7621e-006 to 4.7661e-006
Heightened Def Con from 4.76611e-006 to 4.77111e-006
Heightened Def Con from 4.77764e-006 to 4.78264e-006
Heightened Def Con from 4.78264e-006 to 4.78764e-006
Heightened Def Con from 5.20172e-006 to 5.20572e-006
Heightened Def Con from 5.20572e-006 to 5.21072e-006
Heightened Def Con from 5.21178e-006 to 5.21678e-006
Heightened Def Con from 5.21794e-006 to 5.22294e-006
Heightened Def Con from 5.22356e-006 to 5.22756e-006
Heightened Def Con from 5.22757e-006 to 5.23257e-006
Heightened Def Con from 5.23305e-006 to 5.23805e-006
Heightened Def Con from 5.24034e-006 to 5.24434e-006
Heightened Def Con from 5.24477e-006 to 5.24977e-006
Heightened Def Con from 5.25161e-006 to 5.25661e-006
Heightened Def Con from 5.25777e-006 to 5.26277e-006
Heightened Def Con from 5.26324e-006 to 5.26824e-006
Heightened Def Con from 5.269e-006 to 5.273e-006
Heightened Def Con from 5.27359e-006 to 5.27859e-006
Heightened Def Con from 5.27983e-006 to 5.28483e-006
Heightened Def Con from 5.29925e-006 to 5.30425e-006
Heightened Def Con from 5.38525e-006 to 5.38925e-006
Heightened Def Con from 5.39521e-006 to 5.39921e-006
Heightened Def Con from 5.39922e-006 to 5.40322e-006
Heightened Def Con from 5.43578e-006 to 5.44178e-006
Heightened Def Con from 5.44949e-006 to 5.45449e-006
Heightened Def Con from 5.46054e-006 to 5.46554e-006
Heightened Def Con from 5.4814e-006 to 5.4864e-006
Heightened Def Con from 5.48738e-006 to 5.49238e-006
Heightened Def Con from 5.49546e-006 to 5.50046e-006
Heightened Def Con from 5.50141e-006 to 5.50641e-006
Heightened Def Con from 5.50736e-006 to 5.51136e-006
Heightened Def Con from 5.51136e-006 to 5.51636e-006
Heightened Def Con from 5.59701e-006 to 5.60201e-006
Heightened Def Con from 5.60334e-006 to 5.60834e-006
Heightened Def Con from 5.65995e-006 to 5.66395e-006
Heightened Def Con from 5.66396e-006 to 5.66896e-006
Heightened Def Con from 5.66945e-006 to 5.67345e-006
Heightened Def Con from 5.67452e-006 to 5.67952e-006
Heightened Def Con from 5.71095e-006 to 5.71495e-006
Heightened Def Con from 5.71499e-006 to 5.71999e-006
Heightened Def Con from 5.7468e-006 to 5.7518e-006
Heightened Def Con from 5.77488e-006 to 5.77988e-006
Heightened Def Con from 5.78029e-006 to 5.78429e-006
Heightened Def Con from 5.80108e-006 to 5.80608e-006
Heightened Def Con from 5.82754e-006 to 5.83154e-006
Heightened Def Con from 5.83196e-006 to 5.83696e-006
Heightened Def Con from 5.83873e-006 to 5.84373e-006
Heightened Def Con from 5.84457e-006 to 5.84957e-006
Heightened Def Con from 5.85524e-006 to 5.86024e-006
Heightened Def Con from 5.86187e-006 to 5.86587e-006
Heightened Def Con from 5.8692e-006 to 5.8722e-006
Heightened Def Con from 5.87221e-006 to 5.87621e-006
Heightened Def Con from 5.95494e-006 to 5.95894e-006
Heightened Def Con from 5.96535e-006 to 5.97035e-006
Heightened Def Con from 5.97084e-006 to 5.97584e-006
Heightened Def Con from 6.53907e-006 to 6.54507e-006
Heightened Def Con from 6.93093e-006 to 6.93593e-006
Heightened Def Con from 6.96168e-006 to 6.96568e-006
Heightened Def Con from 6.96786e-006 to 6.97186e-006
Heightened Def Con from 6.97251e-006 to 6.97751e-006
Heightened Def Con from 6.9822e-006 to 6.9872e-006
Heightened Def Con from 6.98953e-006 to 6.99453e-006
Heightened Def Con from 7.05159e-006 to 7.05659e-006
Heightened Def Con from 7.05816e-006 to 7.06416e-006
Heightened Def Con from 7.44224e-006 to 7.44724e-006
Heightened Def Con from 7.46132e-006 to 7.46532e-006
Heightened Def Con from 7.46533e-006 to 7.47033e-006
Heightened Def Con from 7.48051e-006 to 7.48551e-006
Heightened Def Con from 7.49513e-006 to 7.50013e-006
Heightened Def Con from 7.53376e-006 to 7.53876e-006
Heightened Def Con from 7.55428e-006 to 7.55828e-006
Heightened Def Con from 7.55828e-006 to 7.56228e-006
Heightened Def Con from 7.57586e-006 to 7.58086e-006
Heightened Def Con from 7.58334e-006 to 7.58834e-006
Heightened Def Con from 7.59031e-006 to 7.59531e-006
Heightened Def Con from 7.59602e-006 to 7.60102e-006
Heightened Def Con from 7.60205e-006 to 7.60805e-006
Heightened Def Con from 8.03438e-006 to 8.03838e-006
Heightened Def Con from 8.14121e-006 to 8.14521e-006
Heightened Def Con from 8.14667e-006 to 8.15067e-006
Heightened Def Con from 8.20501e-006 to 8.21001e-006
Heightened Def Con from 8.2132e-006 to 8.2172e-006
Heightened Def Con from 8.21721e-006 to 8.22221e-006
Heightened Def Con from 8.22335e-006 to 8.22835e-006
Heightened Def Con from 8.22928e-006 to 8.23428e-006
Heightened Def Con from 8.23501e-006 to 8.24001e-006
Heightened Def Con from 8.25241e-006 to 8.25741e-006
Heightened Def Con from 8.28287e-006 to 8.28687e-006
Heightened Def Con from 8.28688e-006 to 8.29188e-006
Heightened Def Con from 8.2996e-006 to 8.3046e-006
Heightened Def Con from 8.30527e-006 to 8.31027e-006
Heightened Def Con from 8.31088e-006 to 8.31488e-006
Heightened Def Con from 8.31606e-006 to 8.32106e-006
Heightened Def Con from 8.34804e-006 to 8.35204e-006
Heightened Def Con from 8.46672e-006 to 8.47172e-006
Heightened Def Con from 8.49814e-006 to 8.50314e-006
Heightened Def Con from 8.508e-006 to 8.513e-006
Heightened Def Con from 8.51361e-006 to 8.51861e-006
Heightened Def Con from 8.52034e-006 to 8.52434e-006
Heightened Def Con from 8.52884e-006 to 8.53284e-006
Heightened Def Con from 8.53557e-006 to 8.53957e-006
Heightened Def Con from 8.54091e-006 to 8.54591e-006
Heightened Def Con from 8.64524e-006 to 8.65024e-006
Heightened Def Con from 8.65025e-006 to 8.65525e-006
Heightened Def Con from 8.65852e-006 to 8.66352e-006
Heightened Def Con from 8.66556e-006 to 8.67056e-006
Heightened Def Con from 8.67407e-006 to 8.67807e-006
Heightened Def Con from 8.67807e-006 to 8.68207e-006
Heightened Def Con from 8.72866e-006 to 8.73366e-006
Heightened Def Con from 8.73537e-006 to 8.74037e-006
Heightened Def Con from 8.74281e-006 to 8.74681e-006
Heightened Def Con from 8.74683e-006 to 8.75183e-006
Heightened Def Con from 8.89406e-006 to 8.89906e-006
Heightened Def Con from 8.89907e-006 to 8.90407e-006
Heightened Def Con from 8.90454e-006 to 8.90954e-006
Heightened Def Con from 8.91133e-006 to 8.91533e-006
Heightened Def Con from 8.91533e-006 to 8.92033e-006
Heightened Def Con from 9.27277e-006 to 9.27877e-006
Heightened Def Con from 9.28651e-006 to 9.29151e-006
Heightened Def Con from 9.31083e-006 to 9.31483e-006
Heightened Def Con from 9.31484e-006 to 9.31984e-006
Heightened Def Con from 9.32772e-006 to 9.33272e-006
Heightened Def Con from 9.33763e-006 to 9.34263e-006
Heightened Def Con from 9.5485e-006 to 9.5535e-006
Heightened Def Con from 9.56451e-006 to 9.56851e-006
Heightened Def Con from 9.56851e-006 to 9.57351e-006
Heightened Def Con from 9.57819e-006 to 9.58319e-006
Heightened Def Con from 9.58617e-006 to 9.59117e-006
Heightened Def Con from 9.60403e-006 to 9.60903e-006
Heightened Def Con from 9.61031e-006 to 9.61531e-006
Heightened Def Con from 9.69712e-006 to 9.70112e-006
Heightened Def Con from 9.70113e-006 to 9.70613e-006
Heightened Def Con from 9.73801e-006 to 9.74301e-006
Heightened Def Con from 9.74426e-006 to 9.74926e-006
Heightened Def Con from 9.7642e-006 to 9.7692e-006
Heightened Def Con from 9.77036e-006 to 9.77436e-006
Heightened Def Con from 9.78894e-006 to 9.79394e-006
Heightened Def Con from 9.88602e-006 to 9.89102e-006
Heightened Def Con from 9.89473e-006 to 9.89973e-006
Heightened Def Con from 9.90287e-006 to 9.90687e-006
Heightened Def Con from 9.90689e-006 to 9.91189e-006
Heightened Def Con from 9.91343e-006 to 9.91843e-006
Heightened Def Con from 9.9196e-006 to 9.9246e-006
Heightened Def Con from 9.98901e-006 to 9.99401e-006
Heightened Def Con from 9.99455e-006 to 9.99955e-006
Heightened Def Con from 1.00056e-005 to 1.00106e-005
Heightened Def Con from 1.01528e-005 to 1.01578e-005
Heightened Def Con from 1.01586e-005 to 1.01636e-005
Heightened Def Con from 1.01713e-005 to 1.01763e-005
Heightened Def Con from 1.01848e-005 to 1.01898e-005
Heightened Def Con from 1.01903e-005 to 1.01953e-005
Heightened Def Con from 1.01953e-005 to 1.01993e-005
Heightened Def Con from 1.02022e-005 to 1.02062e-005
Heightened Def Con from 1.02132e-005 to 1.02182e-005
Heightened Def Con from 1.02242e-005 to 1.02292e-005
Heightened Def Con from 1.02763e-005 to 1.02813e-005
Heightened Def Con from 1.02818e-005 to 1.02858e-005
Heightened Def Con from 1.02878e-005 to 1.02928e-005
Heightened Def Con from 1.03434e-005 to 1.03484e-005
Heightened Def Con from 1.03489e-005 to 1.03539e-005
Heightened Def Con from 1.03563e-005 to 1.03603e-005
Heightened Def Con from 1.04723e-005 to 1.04773e-005
Heightened Def Con from 1.04794e-005 to 1.04844e-005
Heightened Def Con from 1.04883e-005 to 1.04933e-005
Heightened Def Con from 1.04946e-005 to 1.04996e-005
Heightened Def Con from 1.06146e-005 to 1.06196e-005
Heightened Def Con from 1.06206e-005 to 1.06256e-005
Heightened Def Con from 1.06264e-005 to 1.06314e-005
Heightened Def Con from 1.06396e-005 to 1.06446e-005
Heightened Def Con from 1.06471e-005 to 1.06521e-005
Heightened Def Con from 1.09011e-005 to 1.09061e-005
Heightened Def Con from 1.87967e-005 to 1.88007e-005
Heightened Def Con from 1.88012e-005 to 1.88062e-005
Heightened Def Con from 1.88925e-005 to 1.88975e-005
Heightened Def Con from 1.88982e-005 to 1.89022e-005
Heightened Def Con from 1.89034e-005 to 1.89084e-005
Heightened Def Con from 1.89566e-005 to 1.89616e-005
Heightened Def Con from 1.91233e-005 to 1.91283e-005
Heightened Def Con from 1.91294e-005 to 1.91344e-005
Heightened Def Con from 1.91354e-005 to 1.91404e-005
Heightened Def Con from 1.91404e-005 to 1.91454e-005
Heightened Def Con from 1.91524e-005 to 1.91574e-005
Heightened Def Con from 1.91709e-005 to 1.91759e-005
Heightened Def Con from 1.9179e-005 to 1.9184e-005
Heightened Def Con from 1.91869e-005 to 1.91919e-005
Heightened Def Con from 1.91919e-005 to 1.91969e-005
Heightened Def Con from 1.92091e-005 to 1.92141e-005
Heightened Def Con from 1.92236e-005 to 1.92286e-005
Heightened Def Con from 1.92511e-005 to 1.92561e-005
Heightened Def Con from 1.92593e-005 to 1.92643e-005
Heightened Def Con from 1.93216e-005 to 1.93256e-005
Heightened Def Con from 1.93257e-005 to 1.93297e-005
Heightened Def Con from 1.93304e-005 to 1.93354e-005
Heightened Def Con from 1.93354e-005 to 1.93404e-005
Heightened Def Con from 1.93404e-005 to 1.93454e-005
Heightened Def Con from 1.94884e-005 to 1.94934e-005
Heightened Def Con from 1.94939e-005 to 1.94989e-005
Heightened Def Con from 1.95034e-005 to 1.95084e-005
Heightened Def Con from 1.95099e-005 to 1.95149e-005
Heightened Def Con from 1.95689e-005 to 1.95739e-005
Heightened Def Con from 1.95742e-005 to 1.95792e-005
Heightened Def Con from 1.958e-005 to 1.9585e-005
Heightened Def Con from 1.96474e-005 to 1.96524e-005
Heightened Def Con from 1.97396e-005 to 1.97436e-005
Heightened Def Con from 1.97452e-005 to 1.97492e-005
Heightened Def Con from 1.97514e-005 to 1.97564e-005
Heightened Def Con from 1.97569e-005 to 1.97619e-005
Heightened Def Con from 1.9775e-005 to 1.978e-005
Heightened Def Con from 1.9781e-005 to 1.9786e-005
Heightened Def Con from 1.97877e-005 to 1.97917e-005
Heightened Def Con from 1.97917e-005 to 1.97967e-005
Heightened Def Con from 1.97972e-005 to 1.98012e-005
Heightened Def Con from 1.9802e-005 to 1.9807e-005
Heightened Def Con from 1.98137e-005 to 1.98187e-005
Heightened Def Con from 1.98229e-005 to 1.98279e-005
Heightened Def Con from 2.00001e-005 to 2.00051e-005
Heightened Def Con from 2.00076e-005 to 2.00126e-005
Heightened Def Con from 2.00139e-005 to 2.00179e-005
Heightened Def Con from 2.00239e-005 to 2.00289e-005
Heightened Def Con from 2.00946e-005 to 2.00996e-005
Heightened Def Con from 2.01006e-005 to 2.01056e-005
Heightened Def Con from 2.01069e-005 to 2.01119e-005
Heightened Def Con from 2.01153e-005 to 2.01203e-005
Heightened Def Con from 2.01319e-005 to 2.01369e-005
Heightened Def Con from 2.01412e-005 to 2.01452e-005
Heightened Def Con from 2.01452e-005 to 2.01492e-005
Heightened Def Con from 2.01492e-005 to 2.01542e-005
Heightened Def Con from 2.01604e-005 to 2.01644e-005
Heightened Def Con from 0.000196245 to 0.000196249
Heightened Def Con from 0.000196406 to 0.000196411
Heightened Def Con from 0.00019648 to 0.000196488
Heightened Def Con from 0.000196488 to 0.000196493
Heightened Def Con from 0.000196499 to 0.000196504
Heightened Def Con from 0.000196517 to 0.000196525
Heightened Def Con from 0.000196526 to 0.000196531
Heightened Def Con from 0.000196533 to 0.000196537
Heightened Def Con from 0.000434609 to 0.000434617
Heightened Def Con from 0.00504824 to 0.00504824

Date: Tue Jan 12 22:26:58 2021
Total elapsed time: 9.471 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 1438058
traniter = 1438044
tranpoints = 376590
accept = 278098
rejected = 98845
matrix size = 51
fillins = 11
solver = Normal
Thread vector: 5.4/2.6[2] 1.8/1.5[2] 0.3/0.3[1] 0.2/0.5[1]  2592/500
Matrix Compiler1: 2.44 KB object code size  0.4/0.2/[0.2]
Matrix Compiler2: 3.39 KB object code size  0.2/0.4/[0.2]

